Gold,Silver
90705,1170
91135,1170
90880,1170
90705,1183
91650,1183
91050,1170
91135,1170
90280,1183
90020,1179
90190,1179
89590,1162
89590,1179
90105,1192
90190,1200
90020,1192
90020,1192
89080,1170
88650,1166
88480,1170
88735,1170
89080,1192
88565,1183
87705,1170
88390,1187
88220,1200
87965,1209
87190,1200
87190,1200
86935,1196
86505,1183
86675,1200
86335,1192
86165,1192
86165,1192
85990,1192
87020,1204
86765,1200
86075,1179
86165,1183
86165,1183
85650,1174
85990,1183
86590,1200
85735,1192
85905,1192
86165,1200
85990,1192
85475,1166
85135,1157
85135,1157
85650,1187
85305,1174
84960,1153
84105,1140
83675,1106
83505,1101
83590,1101
83850,1110
83850,1110
83850,1119
82990,1093
83335,1097
83590,1084
84105,1097
84020,1101
84360,1110
84190,1136
83335,1110
83420,1114
82905,1110
81790,1102
81790,1110
80590,1084
80845,1084
81020,1093
79820,1050
79905,1042
80245,1050
79820,1041
79730,1029
79730,1029
80590,1041
80590,1041
80590,1041
79305,1003
79820,1003
79905,1007
80075,1011
79990,994
79820,994
80675,1016
80760,1020
80590,1041
81620,1054
82305,1076
79730,1003
79560,1003
78530,982
78360,986
